mol_id,smiles,pIC50
CHEMBL179607,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)C(=C)CN5CCOCC5,7.12
CHEMBL121405,OC1(CCNCC1)c2oc(c3ccnc(NC4CCCCC4)c3)c(n2)c5ccc(F)cc5,5.96
CHEMBL333231,Clc1cccc(CNc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,7.58
CHEMBL440298,Oc1ccc(\C=C(/C#N)\C(=O)NCCCCc2ccccc2)cc1O,5.52
CHEMBL207410,CNC(=O)c1cccc(c1)C#Cc2cncnc2Nc3ccc(OCc4cccc(F)c4)c(Cl)c3,7.1
CHEMBL438075,CC(=O)Nc1ccc(cc1)C#Cc2cncnc2Nc3ccc(OCc4cccc(F)c4)c(Cl)c3,4.6
CHEMBL436511,CN1CCC(CC1)Oc2cccc3ncnc(Nc4ccc(OCc5cnccn5)c(Cl)c4)c23,6.16
CHEMBL202621,Fc1ccc(Nc2ncnc3ccc(NC(=O)C#CCN4CCOCC4)cc23)cc1Cl,7.07
CHEMBL91811,CC(C)N(C)CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.07
CHEMBL171172,Oc1ccc(O)c(CNc2ccc(O)c(c2)C(=O)Oc3ccc(cc3)c4ccccc4)c1,5.3
CHEMBL52076,Nc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,8.0
CHEMBL175556,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)\C=C\CN5CCOCC5,7.7
CHEMBL380972,COc1cc2CNc3c(Nc4cccc(Br)c4)ncnc3Oc2cc1OC,6.47
CHEMBL382186,CS(=O)(=O)Nc1ccc2Oc3ncnc(Nc4cccc(Br)c4)c3NCc2c1,5.39
CHEMBL383246,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C4(CCN(CC4)C(C)C)C(=O)N,7.02
CHEMBL207130,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C4(CCN(C)CC4)C(=O)N,7.4
CHEMBL205235,Nc1cccc(c1)C#Cc2cncnc2Nc3ccc(OCc4cccc(F)c4)c(Cl)c3,7.38
CHEMBL74481,Cc1ccc(Nc2ncnc3[nH]c4CCCCc4c23)cc1,6.96
CHEMBL431191,COc1cccc(Nc2ncnc3[nH]c4CCCCc4c23)c1,6.07
CHEMBL207687,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@@H](C)C(=O)N,8.1
CHEMBL381080,CS(=O)(=O)CCC(=O)Nc1cccc(c1)C#Cc2cncnc2Nc3ccc(OCc4cccc(F)c4)c(Cl)c3,7.3
CHEMBL1094195,Cl.NCCc1cn(Cc2ccc(cc2)c3cccc(c3)C(F)(F)F)c4ccc(OCCc5ccc(O)cc5)cc14,5.96
